Track Name,Artist Name(s),Album Name,Release Date,Popularity,Explicit,Added At,Genres,Current_Playlists,In_Liked,Danceability,Energy,Valence,Acousticness,Instrumentalness,Speechiness,Tempo,Loudness,Record Label
Act Like You Know,Fat Larry's Band,Breakin' Out,1982-01-01,57,false,2023-12-26T16:02:49Z,"soul de philadelphie,post-disco,funk",Anniversaire_Stéph_,non,0.746,0.781,0.843,0.24,0.00000318,0.125,103.303,-7.701,UNIDISC MUSIC INC.
Action,Yann,Action,2022-06-30,0,false,2024-02-10T19:17:11Z,pop française,,oui,0.875,0.561,0.414,0.0214,0.337,0.059,119.042,-11.379,iMD-KINGCHEFS AND DRAGQUEENS
Ain't No Stoppin' Us Now,McFadden & Whitehead,McFadden & Whitehead,1979-05-01,61,false,2023-12-26T16:02:49Z,"soul de philadelphie,disco",Anniversaire_Stéph_,non,0.678,0.688,0.887,0.0611,0,0.0544,114.098,-7.83,Legacy Recordings
And the Beat Goes On,The Whispers,The Whispers / Happy Holidays to You,1979-01-01,59,false,2023-12-26T16:02:49Z,"post-disco,quiet storm,soul classique,funk,disco",Anniversaire_Stéph_ | Anniversaire_Stéph_,non,0.8,0.608,0.841,0.0711,0.000361,0.112,113.196,-9.777,Castle Communications
Back & Forth,Aaliyah,Age Ain't Nothing But A Number,1994-05-22,63,false,2023-12-26T16:02:49Z,"r&b,r&b contemporain",Anniversaire_Stéph_,non,0.706,0.727,0.903,0.0698,0.00000531,0.0317,92.938,-8.06,Jive
Back To Life,Soul II Soul;Caron Wheeler,Keep On Movin',1989-01-01,70,false,2023-12-26T16:02:49Z,new jack swing,Anniversaire_Stéph_,non,0.817,0.484,0.671,0.0515,0.000213,0.143,100.978,-11.659,Virgin
Bang!,AJR,Bang!,2020-02-12,1,false,2025-02-18T08:47:10Z,,Taff,non,0.74,0.516,0.698,0.0183,0,0.0507,139.918,-6.233,S-Curve Records
Be Free,Brocklesby Crooke;Kairos Kilt,Tropical Indie,2016-09-09,0,false,2023-12-26T16:24:12Z,,Feel_good,non,0.747,0.782,0.507,0.00174,0.000163,0.0551,104.991,-8.519,Extreme Music
Beats,AJR,Neotheater,2019-04-26,0,false,2025-02-18T08:47:10Z,,Taff,non,0.59,0.682,0.665,0.0198,0,0.0564,125.055,-7.223,BMG Rights Management (US) LLC
Birthday Party,AJR,Neotheater,2019-04-26,0,false,2025-02-18T08:47:10Z,,Taff,non,0.707,0.462,0.547,0.0732,0,0.117,83.994,-6.696,BMG Rights Management (US) LLC
Car Radio,Twenty One Pilots,Vessel,2013-01-08,71,false,2025-02-18T08:47:34Z,,Taff,non,0.766,0.519,0.612,0.098,0,0.0366,129.972,-7.355,Fueled By Ramen
Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI;Felix Jaehn,Me 4 U,2015-10-16,84,false,2023-12-26T16:26:33Z,tropical house,Throwback,non,0.782,0.685,0.603,0.166,0.0000118,0.0309,118.02,-6.237,"Ultra Records, LLC"
Choker,Twenty One Pilots,Scaled And Icy,2021-05-21,64,false,2025-02-18T08:47:34Z,,Taff,non,0.7,0.664,0.585,0.306,0.0000189,0.0394,142.009,-8.211,Fueled By Ramen
Cut My Lip,Twenty One Pilots,Trench,2018-10-05,62,false,2025-02-18T08:47:34Z,,Taff,non,0.641,0.561,0.678,0.12,0.0021,0.0355,111.938,-5.856,Fueled By Ramen
Dance You Outta My Head,Cat Janice,Dance You Outta My Head,2024-01-19,59,true,2024-02-29T12:24:45Z,,A&P,non,0.751,0.712,0.598,0.0608,0,0.0548,115.966,-7.181,Cat Janice
Dancin' (A Catchy Rhythm),Sue Ann Carwell;Joey Diggs,Pure Disney,2008-01-01,32,false,2023-12-26T16:24:45Z,,Movie_night,non,0.681,0.651,0.648,0.233,0,0.0451,121.979,-12.201,EMI Catalogue
Dancing with my phone,HYBS,Making Steak,2022-09-01,64,true,2023-12-26T17:57:00Z,,A&P,non,0.834,0.586,0.878,0.439,0.083,0.0267,102.048,-8.278,JUICEY
